Kraj_ID,Kraj_Název,Okres_ID,Okres_Název,Obec_ID,Obec_Název,ps311_Obec_Link
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1,https://www.volby.cz/pls/ps2017nss/ps32?xjazyk=CZ&xkraj=1&xnumnuts=1100,
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,500054,Praha 1,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=500054&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,500224,Praha 10,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=500224&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,547034,Praha 11,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=547034&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,547107,Praha 12,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=547107&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,539694,Praha 13,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=539694&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,547361,Praha 14,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=547361&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,547387,Praha 15,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=547387&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,539601,Praha 16,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=539601&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,547174,Praha 17,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=547174&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,547417,Praha 18,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=547417&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,547344,Praha 19,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=547344&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,500089,Praha 2,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=500089&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,538213,Praha 20,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=538213&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,538949,Praha 21,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=538949&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,538931,Praha 22,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=538931&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,500097,Praha 3,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=500097&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,500119,Praha 4,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=500119&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,500143,Praha 5,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=500143&xvyber=1100
CZ0100,Praha,ps311?xjazyk=CZ&xkraj=1,Praha,500178,Praha 6,https://www.volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=1&xobec=500178&xvyber=1100
